Hate Speech,Target,Category,Counterspeech
Blacks have always inhabited this planet before we evolved and still do. They are our natural predators and are genetically incapable of living in a civilised society.,POC,Humor,"Natural predators? This argument is so unfounded, I cannot even think of anything funny to say."
Migrants are not welcome in our country.,MIGRANTS,Facts,"For a lot of people it is still their home country, and they are proud of it."
Violence in our streets is niggers' fault.,POC,Positive,"Please, stop scapegoating people of colour: we are all brothers and sisters, and we are all in this together. Also people of color suffer from this violence."
"To have a real democracy, the government needs to get rid of Jews.",JEWS,Positive,"People need to understand that as long as there are people being persecuted for their religious beliefs, there will never be peace or a real democracy."
Jewish folks are the real antisemite.,JEWS,Humor,"By this logic, all christians are satan worshippers."
I can't stand Muslims. They're just a bunch of hypocrites who think they are superior to us. They don't know what progress is about.,MUSLIMS,Denouncing,"You cannot be 'progressive' by rejecting people of a certain religion. What is progress about, to you? Your claim sounds based on the moral superiority."
Blacks have zero sense of morality and are incapable of love.,POC,Denouncing,You should not attribute morality to a person's race. That is just plain racist and you should know better. It doesn't even make sense.
It is ok to be racist against Asians.,OTHER,Humor,"So wait a minute. You support racist comments in case the victim is an Asian? This is some Level A racism, I think you take the cake. Congrats, prick."
All gay people are criminals.,LGBT+,Facts,"Stating this does not seem like a way to improve people's well-being. Homosexuals are not committing crimes. Instead, they are trying to create a climate in which people can become more accepting of other people."
women are only useful for sex.,WOMEN,Facts,relationships are about far more than simply sex
"All Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.",POC,Facts,"All cultures have a common background that includes crimes and deviant behavior, regardless of race or ethnicity. If we stop thinking of crime in terms of races, then we can solve it."
Muslims have no place in a secular state.,MUSLIMS,Humor,SIRI! Recite secular for dummies. 
This country is full of foreigners,MIGRANTS,Humor,Britisher's taking offence on foreigners in the country will never be not funny. 
We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,WOMEN,Humor,Oh women must hate you dude.
All foreigners are ruining our own land.,MIGRANTS,Positive,"Immigrants who settle here help create a inclusive and diverse space for all of us. For this I thank them, and for that I pray that they continue to do so."
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",OTHER,Denouncing,The internet has become a shouting platform for people's hateful views. Of course something needs to be done since people don't seem able to moderate their words themselves.
"Even if migrants come here to escape the poverty, crime and misery in their homelands, they are not welcome here.",MIGRANTS,Positive,"Refugees are often very contributing people in our society. We should welcome them, not exclude them."
